Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein,Precursor Mz
Internal Standard,170410_Smp_KM1513-125m_A,Heavy GMP,14.21,1321003,0,77203,0.2,Internal Standard,367.035898
Internal Standard,170410_Smp_KM1513-125m_B,Heavy GMP,15.08,2211804,0,122071,0.1,Internal Standard,367.035898
Internal Standard,170410_Smp_KM1513-125m_C,Heavy GMP,15.24,1823163,0,106080,0.4,Internal Standard,367.035898
Internal Standard,170410_Smp_KM1513-15m_A,Heavy GMP,14.79,1723247,0,106590,0.5,Internal Standard,367.035898
Internal Standard,170410_Smp_KM1513-15m_B,Heavy GMP,15.01,2322011,0,149121,0.2,Internal Standard,367.035898
Internal Standard,170410_Smp_KM1513-15m_C,Heavy GMP,15.07,3386154,0,175807,0.4,Internal Standard,367.035898
Internal Standard,170410_Smp_KM1513-45m_A,Heavy GMP,14.74,2170337,0,118740,0.4,Internal Standard,367.035898
Internal Standard,170410_Smp_KM1513-45m_B,Heavy GMP,15.2,3015081,0,165987,-0.2,Internal Standard,367.035898
Internal Standard,170410_Smp_KM1513-45m_C,Heavy GMP,15.12,3152770,0,176695,0.2,Internal Standard,367.035898
Internal Standard,170410_Smp_KM1513-75m_A,Heavy GMP,14.62,3051946,0,159522,0.4,Internal Standard,367.035898
Internal Standard,170410_Smp_KM1513-75m_B,Heavy GMP,15.02,4127273,0,193813,0.1,Internal Standard,367.035898
Internal Standard,170410_Smp_KM1513-75m_C,Heavy GMP,15.15,2876483,0,135509,0.3,Internal Standard,367.035898
